Ensembl ID,Gene symbol,Gene type,OS1,OS2,OS3,OS4,LS1,LS2,LS3,LS4
ENSG00000003249.13,DBNDD1,protein_coding,623,1223,707,740,241,258,330,295
ENSG00000003393.14,ALS2,protein_coding,1037,1289,856,926,917,586,972,1164
ENSG00000003400.14,CASP10,protein_coding,972,1202,942,907,1753,1009,1633,1744
ENSG00000003402.19,CFLAR,protein_coding,3876,6077,4118,4536,10461,5287,11705,11683
ENSG00000003436.14,TFPI,protein_coding,11561,15383,11598,12897,2737,4203,7092,6586
ENSG00000003509.15,NDUFAF7,protein_coding,247,455,295,336,602,323,513,533
ENSG00000003756.16,RBM5,protein_coding,1810,3363,1954,1926,2367,1433,2963,3459
ENSG00000003987.13,MTMR7,protein_coding,107,116,81,88,41,68,97,112
ENSG00000003989.16,SLC7A2,protein_coding,1115,1406,811,1022,323,577,662,673
ENSG00000004059.10,ARF5,protein_coding,238,441,232,255,137,102,154,219
ENSG00000004139.13,SARM1,protein_coding,9,32,27,22,24,14,15,41
ENSG00000004142.11,POLDIP2,protein_coding,1624,2090,1579,1473,1443,1273,1357,1503
ENSG00000004399.12,PLXND1,protein_coding,13127,22931,10637,12448,14942,11659,18630,19356
ENSG00000004455.16,AK2,protein_coding,3066,4073,2789,2810,2176,2162,2495,2631
ENSG00000004468.12,CD38,protein_coding,9,8,3,1,1,3,4,10
ENSG00000004478.7,FKBP4,protein_coding,817,994,637,655,2975,1156,1785,2397
ENSG00000004487.15,KDM1A,protein_coding,1636,2173,1366,1543,1283,912,1516,1702
ENSG00000004534.14,RBM6,protein_coding,1686,2772,1770,1854,5474,2015,5133,5287
ENSG00000004660.14,CAMKK1,protein_coding,21,56,12,34,38,30,70,60
ENSG00000004700.15,RECQL,protein_coding,1065,1314,825,978,1078,831,890,977
ENSG00000004766.15,CCDC132,protein_coding,737,782,645,633,991,632,815,1112
ENSG00000004776.11,HSPB6,protein_coding,220,280,243,182,201,101,121,158
ENSG00000004777.18,ARHGAP33,protein_coding,47,81,35,36,34,25,34,76
ENSG00000004779.9,NDUFAB1,protein_coding,4626,5512,4474,4565,4388,3698,4065,5005
ENSG00000004799.7,PDK4,protein_coding,203,343,173,196,109,53,112,87
ENSG00000004809.13,SLC22A16,protein_coding,2,0,0,2,4,1,11,1
ENSG00000004838.13,ZMYND10,protein_coding,1,13,11,4,16,6,21,29
ENSG00000004846.16,ABCB5,protein_coding,3,9,3,3,2,6,2,12
ENSG00000004848.6,ARX,protein_coding,2,5,5,6,5,6,8,11
ENSG00000004864.13,SLC25A13,protein_coding,550,858,636,722,467,385,524,576
ENSG00000004866.18,ST7,protein_coding,895,1308,941,1068,959,675,1053,1178
ENSG00000004897.11,CDC27,protein_coding,2705,3887,2944,3109,2315,2101,2697,3064
ENSG00000004939.13,SLC4A1,protein_coding,4,7,5,0,8,9,4,9
ENSG00000004961.14,HCCS,protein_coding,1479,1866,1380,1570,1507,1297,1452,1707
ENSG00000004975.11,DVL2,protein_coding,402,688,401,470,633,463,631,821
ENSG00000005001.9,PRSS22,protein_coding,5,4,0,0,5,5,1,1
ENSG00000005007.12,UPF1,protein_coding,2423,3362,2063,2082,3424,1914,2871,3232
ENSG00000005020.12,SKAP2,protein_coding,3061,3963,2671,2826,2812,2511,2875,3463
ENSG00000005022.5,SLC25A5,protein_coding,4342,6028,4363,4680,3638,2428,3334,3531
ENSG00000005059.15,CCDC109B,protein_coding,1328,1802,1389,1376,1740,1611,1761,1986
ENSG00000005073.5,HOXA11,protein_coding,61,72,44,56,31,35,28,43
ENSG00000005075.15,POLR2J,protein_coding,1619,1723,1570,1526,1612,1493,1478,1842
ENSG00000005100.12,DHX33,protein_coding,1088,1593,1053,1176,567,532,792,792
ENSG00000005102.12,MEOX1,protein_coding,11,10,5,8,13,9,12,15
ENSG00000005108.15,THSD7A,protein_coding,761,1510,941,1023,547,164,580,638
ENSG00000005156.11,LIG3,protein_coding,320,477,272,276,363,179,361,398
ENSG00000005175.9,RPAP3,protein_coding,714,914,729,789,881,620,897,873
ENSG00000005187.11,ACSM3,protein_coding,402,374,252,341,2,17,2,2
ENSG00000005189.19,AC004381.6,protein_coding,23,57,34,15,45,18,34,24
ENSG00000005194.14,CIAPIN1,protein_coding,1016,1454,986,1082,825,602,791,952
ENSG00000005206.16,SPPL2B,protein_coding,869,1242,769,822,713,581,972,1296
ENSG00000005238.19,FAM214B,protein_coding,738,1263,744,914,2502,1471,2237,2446
ENSG00000005243.9,COPZ2,protein_coding,76,110,79,62,25,41,67,64
ENSG00000005249.12,PRKAR2B,protein_coding,3287,4189,3542,3821,3249,2943,3266,3748
ENSG00000005302.17,MSL3,protein_coding,2688,3323,1986,2186,1941,1325,1883,2256
ENSG00000005339.12,CREBBP,protein_coding,4228,7362,3892,4618,6630,3840,5616,5653
ENSG00000005379.15,BZRAP1,protein_coding,1,12,7,11,11,10,1,11
ENSG00000005381.7,MPO,protein_coding,7,7,5,6,1,4,1,4
ENSG00000005436.13,GCFC2,protein_coding,332,463,342,353,152,204,222,263
ENSG00000005448.16,WDR54,protein_coding,966,1144,1071,1026,776,837,505,1118
ENSG00000005469.11,CROT,protein_coding,156,188,122,128,87,129,115,134
ENSG00000005471.15,ABCB4,protein_coding,3,14,1,8,6,14,17,24
ENSG00000005483.19,KMT2E,protein_coding,2559,3737,2158,2459,3557,2728,3580,3424
ENSG00000005486.16,RHBDD2,protein_coding,707,1164,699,773,1038,626,1062,1190
ENSG00000005513.9,SOX8,protein_coding,43,15,8,20,23,15,38,50
ENSG00000005700.14,IBTK,protein_coding,1596,2064,1586,1725,1547,1373,1561,1922
ENSG00000005801.16,ZNF195,protein_coding,524,718,443,484,729,448,791,788
ENSG00000005810.17,MYCBP2,protein_coding,2321,4244,2281,2706,3023,1816,3105,3053
ENSG00000005812.10,FBXL3,protein_coding,1727,2047,1448,1581,1294,1275,1459,1660
ENSG00000005844.17,ITGAL,protein_coding,10,7,2,2,6,0,3,11
ENSG00000005882.11,PDK2,protein_coding,106,187,81,108,53,32,45,83
ENSG00000005884.17,ITGA3,protein_coding,2277,4515,2466,2420,7917,4384,7406,8552
ENSG00000005889.15,ZFX,protein_coding,812,1250,845,901,1452,821,1455,1397
ENSG00000005893.15,LAMP2,protein_coding,8263,10750,7814,8657,9333,6953,9734,10446
ENSG00000005961.17,ITGA2B,protein_coding,10,18,4,17,41,24,54,42
ENSG00000005981.12,ASB4,protein_coding,5,0,0,1,1,5,0,1
ENSG00000006007.11,GDE1,protein_coding,1237,1982,1596,1428,1821,1447,1601,1914
ENSG00000006015.17,C19orf60,protein_coding,620,741,589,482,76,268,303,270
ENSG00000006016.10,CRLF1,protein_coding,24,115,24,70,69,39,71,54
ENSG00000006025.11,OSBPL7,protein_coding,576,1155,698,709,1193,1048,1723,1978
ENSG00000006042.11,TMEM98,protein_coding,1651,1902,1366,1646,629,815,783,1001
ENSG00000006047.12,YBX2,protein_coding,2,8,2,5,5,8,0,1
ENSG00000006062.13,MAP3K14,protein_coding,63,139,67,43,104,82,97,105
ENSG00000006071.11,ABCC8,protein_coding,0,14,0,0,5,2,5,12
ENSG00000006118.14,TMEM132A,protein_coding,1146,2008,1010,1191,713,620,1024,871
ENSG00000006125.16,AP2B1,protein_coding,5440,8384,4826,5676,6890,4903,6057,6809
ENSG00000006194.9,ZNF263,protein_coding,473,670,410,465,449,317,434,537
ENSG00000006210.6,CX3CL1,protein_coding,13,9,9,6,4,8,5,4
ENSG00000006282.19,SPATA20,protein_coding,1371,2023,1299,1414,2116,1482,2516,2449
ENSG00000006283.17,CACNA1G,protein_coding,4,7,5,6,13,16,7,5
ENSG00000006327.13,TNFRSF12A,protein_coding,581,574,329,441,650,531,657,945
ENSG00000006377.10,DLX6,protein_coding,3,5,3,4,1,2,12,3
ENSG00000006432.15,MAP3K9,protein_coding,5,6,11,6,12,14,12,30
ENSG00000006451.7,RALA,protein_coding,7211,7179,6276,6996,5897,4367,5244,5912
ENSG00000006453.13,BAIAP2L1,protein_coding,78,66,36,29,145,57,161,137
ENSG00000006459.10,KDM7A,protein_coding,539,581,520,493,674,375,619,645
ENSG00000006468.13,ETV1,protein_coding,378,608,291,376,150,155,158,227
ENSG00000006530.15,AGK,protein_coding,484,633,405,468,307,250,361,610
ENSG00000006534.15,ALDH3B1,protein_coding,16,10,14,18,21,27,6,21
ENSG00000006555.10,TTC22,protein_coding,46,78,58,45,61,42,46,71
ENSG00000006576.16,PHTF2,protein_coding,443,582,459,526,400,274,422,466
ENSG00000006607.13,FARP2,protein_coding,764,1097,744,897,852,577,822,1035
ENSG00000006611.15,USH1C,protein_coding,3,11,2,1,17,1,1,5
ENSG00000006625.17,GGCT,protein_coding,296,292,267,343,304,252,241,351
ENSG00000006634.7,DBF4,protein_coding,263,312,228,246,282,158,169,212
ENSG00000006638.11,TBXA2R,protein_coding,49,62,48,36,331,183,173,212
ENSG00000006652.13,IFRD1,protein_coding,1411,1529,1200,1460,2669,1344,2582,2727
ENSG00000006695.10,COX10,protein_coding,526,622,540,545,498,377,417,505
ENSG00000006704.10,GTF2IRD1,protein_coding,224,416,191,351,250,150,241,194
ENSG00000006712.14,PAF1,protein_coding,1588,1858,1401,1430,2025,1462,2061,1980
ENSG00000006715.15,VPS41,protein_coding,1121,1516,1419,1405,1180,913,1152,1093
ENSG00000006740.16,ARHGAP44,protein_coding,38,11,4,15,44,18,35,31
ENSG00000006744.18,ELAC2,protein_coding,2868,4242,3149,3006,2861,2313,3229,3912
ENSG00000006747.14,SCIN,protein_coding,0,4,9,5,2,8,9,13
ENSG00000006756.15,ARSD,protein_coding,370,529,360,475,167,211,237,252
ENSG00000006757.11,PNPLA4,protein_coding,129,192,124,139,68,81,31,72
ENSG00000006788.12,MYH13,protein_coding,10,7,5,6,12,7,11,6
ENSG00000006831.9,ADIPOR2,protein_coding,895,1056,1011,932,1693,788,1240,1490
ENSG00000006837.11,CDKL3,protein_coding,19,32,24,35,69,34,48,57
ENSG00000007001.12,UPP2,protein_coding,7,19,8,10,12,10,8,18
ENSG00000007047.14,MARK4,protein_coding,1231,1965,970,1015,1534,1014,1299,1490
ENSG00000007062.11,PROM1,protein_coding,6,12,12,7,3,1,4,8
ENSG00000007080.10,CCDC124,protein_coding,2888,3589,2423,2906,3361,2799,2821,3527
ENSG00000007129.17,CEACAM21,protein_coding,73,144,91,78,36,28,56,56
ENSG00000007168.12,PAFAH1B1,protein_coding,2030,2543,1823,2081,1995,1761,2046,2405
ENSG00000007171.16,NOS2,protein_coding,7,4,1,0,0,17,0,9
ENSG00000007174.17,DNAH9,protein_coding,3,10,13,4,19,8,16,3
ENSG00000007202.14,KIAA0100,protein_coding,4187,6820,4055,4400,6020,3807,5456,6163
ENSG00000007237.18,GAS7,protein_coding,5,3,8,11,17,14,19,16
ENSG00000007255.10,TRAPPC6A,protein_coding,98,145,92,102,61,26,36,62
ENSG00000007264.13,MATK,protein_coding,5,30,9,8,39,51,33,53
ENSG00000007312.12,CD79B,protein_coding,23,25,18,25,37,20,11,35
ENSG00000007314.11,SCN4A,protein_coding,6,8,1,5,3,8,9,10
ENSG00000007341.18,ST7L,protein_coding,411,487,386,368,452,267,601,670
ENSG00000007350.16,TKTL1,protein_coding,7,15,2,0,14,6,25,26
ENSG00000007372.20,PAX6,protein_coding,16,30,26,36,30,31,32,44
ENSG00000007376.7,RPUSD1,protein_coding,983,1535,1090,1193,1117,705,1049,1075
ENSG00000007384.15,RHBDF1,protein_coding,2668,3357,2330,2455,4286,2485,3833,4774
ENSG00000007392.16,LUC7L,protein_coding,1466,2019,1372,1517,2093,1142,2296,2202
ENSG00000007402.11,CACNA2D2,protein_coding,10,10,3,6,19,16,24,23
ENSG00000007516.13,BAIAP3,protein_coding,33,13,26,10,41,12,37,37
ENSG00000007520.3,TSR3,protein_coding,810,1136,767,755,914,634,785,848
ENSG00000007541.14,PIGQ,protein_coding,552,871,447,466,342,381,471,446
ENSG00000007545.15,CRAMP1L,protein_coding,340,377,245,338,436,258,502,542
ENSG00000007866.18,TEAD3,protein_coding,11,12,12,19,10,10,20,11
ENSG00000007908.15,SELE,protein_coding,28,22,25,50,18,20,13,25
ENSG00000007923.15,DNAJC11,protein_coding,1392,1746,823,902,1183,1109,1344,1463
ENSG00000007933.12,FMO3,protein_coding,2,2,5,9,9,4,11,10
ENSG00000007944.14,MYLIP,protein_coding,531,729,416,402,404,284,463,388
ENSG00000007952.17,NOX1,protein_coding,21,13,19,27,39,24,19,42
ENSG00000007968.6,E2F2,protein_coding,37,91,44,30,26,28,21,20
ENSG00000008018.8,PSMB1,protein_coding,5684,6664,5736,6078,4758,3716,4569,5344
ENSG00000008056.12,SYN1,protein_coding,22,2,5,4,25,17,57,15
ENSG00000008083.13,JARID2,protein_coding,321,422,287,304,289,190,378,431
ENSG00000008086.10,CDKL5,protein_coding,206,293,133,178,188,135,145,243
ENSG00000008118.9,CAMK1G,protein_coding,4,0,4,5,19,11,1,21
ENSG00000008128.22,CDK11A,protein_coding,102,116,71,69,174,59,159,217
ENSG00000008130.15,NADK,protein_coding,913,1442,896,905,1540,836,1632,1781
ENSG00000008196.12,TFAP2B,protein_coding,3,1,4,6,3,6,4,3
ENSG00000008197.4,TFAP2D,protein_coding,4,1,4,2,3,4,5,3
ENSG00000008226.19,DLEC1,protein_coding,13,16,10,7,15,7,10,12
ENSG00000008256.15,CYTH3,protein_coding,248,365,188,233,215,200,166,195
ENSG00000008277.14,ADAM22,protein_coding,24,49,20,22,30,16,28,32
ENSG00000008282.7,SYPL1,protein_coding,3122,3880,2773,3239,3024,2588,3238,3992
ENSG00000008283.15,CYB561,protein_coding,2010,3223,1985,2313,1491,1248,1646,1908
ENSG00000008294.20,SPAG9,protein_coding,3063,3983,2652,3172,6853,4031,5777,6295
ENSG00000008300.14,CELSR3,protein_coding,47,71,32,31,69,36,130,84
ENSG00000008311.14,AASS,protein_coding,533,880,578,517,462,250,315,453
ENSG00000008323.15,PLEKHG6,protein_coding,12,21,9,13,25,15,30,16
ENSG00000008324.10,SS18L2,protein_coding,552,635,536,483,451,376,504,527
ENSG00000008382.15,MPND,protein_coding,171,251,194,171,291,140,208,248
ENSG00000008394.12,MGST1,protein_coding,2659,3422,2732,2944,2078,2019,2410,2549
ENSG00000008405.11,CRY1,protein_coding,648,707,556,580,854,474,931,874
ENSG00000008438.4,PGLYRP1,protein_coding,3,25,0,1,10,1,9,3
ENSG00000008441.16,NFIX,protein_coding,1220,1729,1156,1386,897,774,880,1061
ENSG00000008513.14,ST3GAL1,protein_coding,2634,4301,2298,2789,5514,3915,4909,5251
ENSG00000008516.16,MMP25,protein_coding,22,32,9,15,47,19,34,33
ENSG00000008517.16,IL32,protein_coding,2830,3665,2491,2817,11060,6847,7392,9888
ENSG00000008710.17,PKD1,protein_coding,658,1595,721,745,2075,858,1637,1929
ENSG00000008735.13,MAPK8IP2,protein_coding,7,7,20,2,10,8,19,14
ENSG00000008838.17,MED24,protein_coding,965,1752,1047,1200,1173,841,1144,1225
ENSG00000008853.16,RHOBTB2,protein_coding,343,641,370,341,556,355,564,596
ENSG00000008869.11,HEATR5B,protein_coding,1022,1460,942,988,1285,962,1338,1487
ENSG00000008952.16,SEC62,protein_coding,2855,3569,2630,3041,3651,2733,3862,4042
ENSG00000008988.9,RPS20,protein_coding,5821,5396,4690,5197,3415,3130,3289,3666
ENSG00000009307.15,CSDE1,protein_coding,12959,16609,12822,13961,11490,8076,11062,12340
ENSG00000009335.17,UBE3C,protein_coding,3520,5797,3336,4057,4519,2885,3940,4497
ENSG00000009413.15,REV3L,protein_coding,1312,2841,1483,1937,1279,938,1439,1660
ENSG00000009694.13,TENM1,protein_coding,4,4,4,2,9,0,3,14
ENSG00000009709.11,PAX7,protein_coding,20,38,19,22,20,12,32,32
ENSG00000009724.16,MASP2,protein_coding,56,26,28,32,38,36,68,62
ENSG00000009765.14,IYD,protein_coding,5,2,8,6,11,5,7,3
ENSG00000009780.15,FAM76A,protein_coding,321,544,316,356,325,312,439,534
ENSG00000009790.14,TRAF3IP3,protein_coding,20,16,6,8,14,17,21,20
ENSG00000009830.11,POMT2,protein_coding,374,667,368,497,504,406,589,742
ENSG00000009844.15,VTA1,protein_coding,1886,2101,1538,1987,2143,1655,2008,2089
ENSG00000009950.15,MLXIPL,protein_coding,3,2,8,4,1,3,5,8
ENSG00000009954.10,BAZ1B,protein_coding,2971,4613,2844,3071,3249,2574,2940,3455
ENSG00000010017.12,RANBP9,protein_coding,2058,3027,2056,2157,1829,1495,1778,2030
ENSG00000010030.13,ETV7,protein_coding,9,5,4,10,6,7,3,4
ENSG00000010072.15,SPRTN,protein_coding,529,824,493,644,270,391,438,473
ENSG00000010165.19,METTL13,protein_coding,914,1453,921,859,1287,724,1038,1206
ENSG00000010219.13,DYRK4,protein_coding,561,860,671,626,700,448,661,641
ENSG00000010244.16,ZNF207,protein_coding,3333,5177,3275,3427,3030,2332,3401,4108
ENSG00000010256.10,UQCRC1,protein_coding,2163,2891,1892,1920,1628,1392,1602,2014
ENSG00000010270.13,STARD3NL,protein_coding,2617,3183,2428,2842,3452,2400,3289,3824
ENSG00000010278.11,CD9,protein_coding,37424,45150,35203,38517,47435,46354,63847,66780
ENSG00000010292.12,NCAPD2,protein_coding,1005,1652,921,1204,656,474,661,737
ENSG00000010295.19,IFFO1,protein_coding,596,999,615,626,853,720,842,1179
ENSG00000010310.8,GIPR,protein_coding,2,5,2,13,20,18,10,9
ENSG00000010318.19,PHF7,protein_coding,85,159,78,76,50,52,89,64
ENSG00000010319.6,SEMA3G,protein_coding,565,633,337,389,241,145,197,262
ENSG00000010322.15,NISCH,protein_coding,2850,4658,2358,3066,3417,1924,3551,3644
ENSG00000010327.10,STAB1,protein_coding,5096,10145,4039,5137,6954,4363,8110,8475
ENSG00000010361.13,FUZ,protein_coding,26,53,14,11,20,24,28,19
ENSG00000010379.15,SLC6A13,protein_coding,0,11,1,2,8,4,5,17
ENSG00000010404.17,IDS,protein_coding,2962,3508,2439,2887,2200,1887,2102,2575
ENSG00000010438.16,PRSS3,protein_coding,1647,3243,1797,1769,3644,3593,4198,4577
ENSG00000010539.11,ZNF200,protein_coding,220,308,181,251,303,190,300,282
ENSG00000010610.9,CD4,protein_coding,4,7,6,3,9,15,22,17
ENSG00000010626.14,LRRC23,protein_coding,29,39,25,27,68,26,52,56
ENSG00000010671.15,BTK,protein_coding,0,6,6,3,4,1,2,2
ENSG00000010704.18,HFE,protein_coding,81,90,60,93,85,75,72,47
ENSG00000010803.16,SCMH1,protein_coding,764,1279,770,896,660,578,873,816
ENSG00000010810.17,FYN,protein_coding,4349,6712,4223,4474,6288,3876,5471,6437
ENSG00000010818.8,HIVEP2,protein_coding,534,687,360,485,605,425,701,695
ENSG00000010932.15,FMO1,protein_coding,37,20,16,45,22,9,16,24
ENSG00000011007.12,TCEB3,protein_coding,2712,3670,2608,2969,3436,2076,3151,3291
ENSG00000011009.10,LYPLA2,protein_coding,1580,2122,1400,1413,1302,948,1362,1759
ENSG00000011021.21,CLCN6,protein_coding,360,581,420,439,480,283,568,562
ENSG00000011028.13,MRC2,protein_coding,369,642,273,357,352,342,569,567
ENSG00000011083.8,SLC6A7,protein_coding,1,7,0,5,3,9,15,4
ENSG00000011105.11,TSPAN9,protein_coding,1912,2796,1837,1969,2421,2507,2562,3417
ENSG00000011114.14,BTBD7,protein_coding,1755,2975,1605,1738,1931,1450,1937,2419
ENSG00000011132.11,APBA3,protein_coding,272,494,294,332,603,436,708,682
ENSG00000011143.16,MKS1,protein_coding,145,192,116,144,36,87,121,92
ENSG00000011198.7,ABHD5,protein_coding,1371,1552,1300,1405,2185,1538,1898,2187
ENSG00000011201.10,ANOS1,protein_coding,54,90,44,72,32,29,34,46
ENSG00000011243.17,AKAP8L,protein_coding,710,1136,562,656,1149,510,960,1185
ENSG00000011258.15,MBTD1,protein_coding,230,403,238,262,273,169,320,385
ENSG00000011260.13,UTP18,protein_coding,507,789,685,664,439,304,501,530
ENSG00000011275.18,RNF216,protein_coding,1827,2821,1703,1926,1646,1272,1663,1839
ENSG00000011295.15,TTC19,protein_coding,1473,1901,1279,1621,1256,1161,1613,1823
ENSG00000011304.16,PTBP1,protein_coding,12913,18239,12192,12560,12745,9050,12343,13842
ENSG00000011332.19,DPF1,protein_coding,17,37,44,28,66,37,67,105
ENSG00000011347.9,SYT7,protein_coding,1,0,0,7,9,6,12,27
ENSG00000011376.9,LARS2,protein_coding,419,410,253,349,435,296,399,469
ENSG00000011405.13,PIK3C2A,protein_coding,6597,11581,7295,7639,18691,12354,16972,18479
ENSG00000011422.11,PLAUR,protein_coding,4461,5809,3603,4229,12411,9664,14298,16414
ENSG00000011426.10,ANLN,protein_coding,3561,4776,3426,3799,1058,1445,1549,1798
ENSG00000011451.17,WIZ,protein_coding,2765,3973,1929,2097,2528,2067,2993,3016
ENSG00000011454.16,RABGAP1,protein_coding,1316,1853,1283,1350,1234,841,1228,1429
ENSG00000011465.16,DCN,protein_coding,18,36,16,19,9,6,7,18
ENSG00000011478.11,QPCTL,protein_coding,171,237,132,136,221,105,287,231
ENSG00000011485.14,PPP5C,protein_coding,768,1322,787,838,679,461,769,837
ENSG00000011523.13,CEP68,protein_coding,1044,1657,917,1071,836,757,859,1045
ENSG00000011566.14,MAP4K3,protein_coding,1006,1206,784,947,891,536,951,803
ENSG00000011590.13,ZBTB32,protein_coding,11,19,4,11,23,8,26,35
ENSG00000011638.10,TMEM159,protein_coding,200,214,198,237,215,135,148,226
ENSG00000011677.12,GABRA3,protein_coding,1,4,13,10,3,8,1,5
ENSG00000012048.19,BRCA1,protein_coding,344,558,288,408,319,174,209,240
ENSG00000012061.15,ERCC1,protein_coding,1354,2094,1390,1536,1839,1085,1721,1915
ENSG00000012124.14,CD22,protein_coding,1,15,0,1,1,1,8,8
ENSG00000012171.17,SEMA3B,protein_coding,27,13,13,8,22,36,23,28
ENSG00000012174.11,MBTPS2,protein_coding,698,834,600,750,474,554,566,615
ENSG00000012211.12,PRICKLE3,protein_coding,74,98,74,53,106,32,121,77
ENSG00000012223.12,LTF,protein_coding,3,2,5,2,9,4,6,10
ENSG00000012232.8,EXTL3,protein_coding,1415,2335,1291,1404,1258,936,1321,1545
ENSG00000012504.13,NR1H4,protein_coding,2,3,0,6,5,2,5,4
ENSG00000012660.13,ELOVL5,protein_coding,2156,2629,1812,2274,4005,2310,3425,3836
ENSG00000012779.10,ALOX5,protein_coding,2,6,1,3,0,3,6,1
ENSG00000012817.15,KDM5D,protein_coding,898,1485,1027,923,1253,979,1862,1977
ENSG00000012822.15,CALCOCO1,protein_coding,1212,2038,1125,1481,1552,1433,2226,2428
ENSG00000012963.13,UBR7,protein_coding,392,709,373,519,377,279,316,404
ENSG00000012983.11,MAP4K5,protein_coding,2855,3704,2479,2592,3279,2383,3336,3404
ENSG00000013016.14,EHD3,protein_coding,135,369,164,225,63,56,41,70
ENSG00000013275.7,PSMC4,protein_coding,2584,3958,2617,3028,2764,2188,2882,3062
ENSG00000013288.8,MAN2B2,protein_coding,1763,2901,1678,1915,1732,1398,1849,1913
ENSG00000013293.5,SLC7A14,protein_coding,23,62,33,24,29,8,28,23
ENSG00000013297.10,CLDN11,protein_coding,25356,34262,30962,27618,6346,7994,11238,10891
ENSG00000013306.15,SLC25A39,protein_coding,2152,3123,2102,2335,2904,2012,2850,3139
ENSG00000013364.18,MVP,protein_coding,4644,6534,4918,4601,7672,6241,6414,9097
ENSG00000013374.15,NUB1,protein_coding,999,1507,952,1127,729,628,811,1168
ENSG00000013375.15,PGM3,protein_coding,3173,3815,3072,3206,2235,1991,2864,3054
ENSG00000013392.7,RWDD2A,protein_coding,177,322,254,278,144,107,155,182
ENSG00000013441.15,CLK1,protein_coding,1478,1765,1242,1450,1939,1369,2546,2529
ENSG00000013503.9,POLR3B,protein_coding,863,1330,817,973,822,662,903,888
ENSG00000013523.9,ANGEL1,protein_coding,881,1561,781,905,860,923,1041,1287
ENSG00000013561.17,RNF14,protein_coding,1005,1416,912,989,1081,908,1085,1170
ENSG00000013563.13,DNASE1L1,protein_coding,798,1162,648,741,2474,1503,2643,2888
ENSG00000013573.16,DDX11,protein_coding,339,514,361,388,623,286,609,523
ENSG00000013583.8,HEBP1,protein_coding,1268,2107,1327,1581,3315,1823,2912,3076
ENSG00000013588.5,GPRC5A,protein_coding,589,1068,627,641,2195,1789,2277,2743
ENSG00000013619.13,MAMLD1,protein_coding,355,622,261,379,479,317,509,537
ENSG00000013725.14,CD6,protein_coding,1,7,8,0,9,5,3,5
ENSG00000013810.18,TACC3,protein_coding,810,1058,784,694,518,392,735,648
ENSG00000014123.9,UFL1,protein_coding,1391,1837,1196,1314,946,921,1183,1004
ENSG00000014138.8,POLA2,protein_coding,417,866,557,521,380,300,592,560
ENSG00000014164.6,ZC3H3,protein_coding,267,511,292,302,314,192,270,308
