Ensembl ID	Gene symbol	Gene type	ST1	ST2	ST3	ST4	OS1	OS2	OS3	OS4
ENSG00000004846.16	ABCB5	protein_coding	7	2	3	2	3	9	3	3
ENSG00000004848.6	ARX	protein_coding	14	11	8	7	2	5	5	6
ENSG00000004864.13	SLC25A13	protein_coding	499	844	706	681	550	858	636	722
ENSG00000004866.18	ST7	protein_coding	889	1288	1036	1230	895	1308	941	1068
ENSG00000004897.11	CDC27	protein_coding	2784	4668	3367	3622	2705	3887	2944	3109
ENSG00000004939.13	SLC4A1	protein_coding	5	4	1	2	4	7	5	0
ENSG00000004961.14	HCCS	protein_coding	1157	1801	1374	1522	1479	1866	1380	1570
ENSG00000004975.11	DVL2	protein_coding	465	652	505	499	402	688	401	470
ENSG00000005001.9	PRSS22	protein_coding	6	2	1	0	5	4	0	0
ENSG00000005007.12	UPF1	protein_coding	2019	3221	2171	2732	2423	3362	2063	2082
ENSG00000005020.12	SKAP2	protein_coding	2722	3995	2889	3437	3061	3963	2671	2826
ENSG00000005022.5	SLC25A5	protein_coding	5136	8323	5785	6433	4342	6028	4363	4680
ENSG00000005059.15	CCDC109B	protein_coding	1253	2072	1741	1683	1328	1802	1389	1376
ENSG00000005073.5	HOXA11	protein_coding	46	87	86	81	61	72	44	56
ENSG00000005075.15	POLR2J	protein_coding	1589	2357	2010	1519	1619	1723	1570	1526
ENSG00000005100.12	DHX33	protein_coding	895	1402	1074	1144	1088	1593	1053	1176
ENSG00000005102.12	MEOX1	protein_coding	9	12	16	2	11	10	5	8
ENSG00000005108.15	THSD7A	protein_coding	1111	1909	1412	1925	761	1510	941	1023
ENSG00000005156.11	LIG3	protein_coding	290	422	269	411	320	477	272	276
ENSG00000005175.9	RPAP3	protein_coding	662	1122	918	852	714	914	729	789
ENSG00000005187.11	ACSM3	protein_coding	528	897	633	772	402	374	252	341
ENSG00000005189.19	AC004381.6	protein_coding	36	38	35	40	23	57	34	15
ENSG00000005194.14	CIAPIN1	protein_coding	884	1183	1043	1079	1016	1454	986	1082
ENSG00000005206.16	SPPL2B	protein_coding	813	1072	746	988	869	1242	769	822
ENSG00000005238.19	FAM214B	protein_coding	650	1180	808	1017	738	1263	744	914
ENSG00000005243.9	COPZ2	protein_coding	76	108	91	77	76	110	79	62
ENSG00000005249.12	PRKAR2B	protein_coding	4245	6186	4190	5169	3287	4189	3542	3821
ENSG00000005302.17	MSL3	protein_coding	2056	3247	2666	3140	2688	3323	1986	2186
ENSG00000005339.12	CREBBP	protein_coding	3314	5600	3942	4838	4228	7362	3892	4618
ENSG00000005379.15	BZRAP1	protein_coding	14	12	3	10	1	12	7	11
ENSG00000005381.7	MPO	protein_coding	8	2	11	6	7	7	5	6
ENSG00000005436.13	GCFC2	protein_coding	337	502	301	389	332	463	342	353
ENSG00000005448.16	WDR54	protein_coding	995	1433	1193	981	966	1144	1071	1026
ENSG00000005469.11	CROT	protein_coding	140	223	160	194	156	188	122	128
ENSG00000005471.15	ABCB4	protein_coding	16	5	2	3	3	14	1	8
ENSG00000005483.19	KMT2E	protein_coding	1721	3275	2306	2820	2559	3737	2158	2459
ENSG00000005486.16	RHBDD2	protein_coding	649	1085	807	959	707	1164	699	773
ENSG00000005513.9	SOX8	protein_coding	30	18	23	22	43	15	8	20
ENSG00000005700.14	IBTK	protein_coding	1259	2179	1667	1853	1596	2064	1586	1725
ENSG00000005801.16	ZNF195	protein_coding	622	991	699	620	524	718	443	484
ENSG00000005810.17	MYCBP2	protein_coding	2083	3593	2527	2887	2321	4244	2281	2706
ENSG00000005812.10	FBXL3	protein_coding	1368	1865	1745	1735	1727	2047	1448	1581
ENSG00000005844.17	ITGAL	protein_coding	10	2	8	3	10	7	2	2
ENSG00000005882.11	PDK2	protein_coding	124	212	143	193	106	187	81	108
ENSG00000005884.17	ITGA3	protein_coding	2271	3686	2691	3326	2277	4515	2466	2420
ENSG00000005889.15	ZFX	protein_coding	761	1154	850	915	812	1250	845	901
ENSG00000005893.15	LAMP2	protein_coding	7089	11375	8877	10139	8263	10750	7814	8657
ENSG00000005961.17	ITGA2B	protein_coding	41	21	11	16	10	18	4	17
ENSG00000005981.12	ASB4	protein_coding	13	0	0	4	5	0	0	1
ENSG00000006007.11	GDE1	protein_coding	1129	1989	1375	1933	1237	1982	1596	1428
ENSG00000006015.17	C19orf60	protein_coding	516	892	634	768	620	741	589	482
ENSG00000006016.10	CRLF1	protein_coding	35	43	39	37	24	115	24	70
ENSG00000006025.11	OSBPL7	protein_coding	612	919	569	853	576	1155	698	709
ENSG00000006042.11	TMEM98	protein_coding	1600	2124	1768	1797	1651	1902	1366	1646
ENSG00000006047.12	YBX2	protein_coding	2	10	4	0	2	8	2	5
ENSG00000006062.13	MAP3K14	protein_coding	83	90	71	80	63	139	67	43
ENSG00000006071.11	ABCC8	protein_coding	16	1	1	5	0	14	0	0
ENSG00000006118.14	TMEM132A	protein_coding	1108	1901	1461	1677	1146	2008	1010	1191
ENSG00000006125.16	AP2B1	protein_coding	4975	8245	5681	7339	5440	8384	4826	5676
ENSG00000006194.9	ZNF263	protein_coding	371	590	474	561	473	670	410	465
ENSG00000006210.6	CX3CL1	protein_coding	15	12	14	4	13	9	9	6
ENSG00000006282.19	SPATA20	protein_coding	1313	2121	1408	1634	1371	2023	1299	1414
ENSG00000006283.17	CACNA1G	protein_coding	20	6	1	7	4	7	5	6
ENSG00000006327.13	TNFRSF12A	protein_coding	205	333	297	241	581	574	329	441
ENSG00000006377.10	DLX6	protein_coding	11	3	0	2	3	5	3	4
ENSG00000006432.15	MAP3K9	protein_coding	29	12	6	14	5	6	11	6
ENSG00000006451.7	RALA	protein_coding	5663	9124	6774	7201	7211	7179	6276	6996
ENSG00000006453.13	BAIAP2L1	protein_coding	61	39	39	21	78	66	36	29
ENSG00000006459.10	KDM7A	protein_coding	401	641	387	479	539	581	520	493
ENSG00000006468.13	ETV1	protein_coding	313	515	398	392	378	608	291	376
ENSG00000006530.15	AGK	protein_coding	472	691	411	651	484	633	405	468
ENSG00000006534.15	ALDH3B1	protein_coding	27	27	7	10	16	10	14	18
ENSG00000006555.10	TTC22	protein_coding	44	95	67	34	46	78	58	45
ENSG00000006576.16	PHTF2	protein_coding	341	593	423	416	443	582	459	526
ENSG00000006607.13	FARP2	protein_coding	587	965	727	954	764	1097	744	897
ENSG00000006611.15	USH1C	protein_coding	5	0	2	1	3	11	2	1
ENSG00000006625.17	GGCT	protein_coding	307	435	299	309	296	292	267	343
ENSG00000006634.7	DBF4	protein_coding	268	382	354	295	263	312	228	246
ENSG00000006638.11	TBXA2R	protein_coding	39	45	39	32	49	62	48	36
ENSG00000006652.13	IFRD1	protein_coding	987	1439	1098	1389	1411	1529	1200	1460
ENSG00000006695.10	COX10	protein_coding	419	641	489	499	526	622	540	545
ENSG00000006704.10	GTF2IRD1	protein_coding	193	336	223	283	224	416	191	351
ENSG00000006712.14	PAF1	protein_coding	1594	2548	2133	1870	1588	1858	1401	1430
ENSG00000006715.15	VPS41	protein_coding	1377	2160	1549	1666	1121	1516	1419	1405
ENSG00000006740.16	ARHGAP44	protein_coding	18	25	12	15	38	11	4	15
ENSG00000006744.18	ELAC2	protein_coding	2710	4055	3193	3392	2868	4242	3149	3006
ENSG00000006747.14	SCIN	protein_coding	26	2	4	11	0	4	9	5
ENSG00000006756.15	ARSD	protein_coding	366	664	501	564	370	529	360	475
ENSG00000006757.11	PNPLA4	protein_coding	124	180	225	266	129	192	124	139
ENSG00000006788.12	MYH13	protein_coding	2	5	5	8	10	7	5	6
ENSG00000006831.9	ADIPOR2	protein_coding	937	1449	1073	1283	895	1056	1011	932
ENSG00000006837.11	CDKL3	protein_coding	27	42	23	14	19	32	24	35
ENSG00000007001.12	UPP2	protein_coding	22	8	13	7	7	19	8	10
ENSG00000007047.14	MARK4	protein_coding	1109	1620	1262	1453	1231	1965	970	1015
ENSG00000007062.11	PROM1	protein_coding	14	13	7	15	6	12	12	7
ENSG00000007080.10	CCDC124	protein_coding	3234	4229	3500	3114	2888	3589	2423	2906
ENSG00000007129.17	CEACAM21	protein_coding	99	111	146	126	73	144	91	78
ENSG00000007168.12	PAFAH1B1	protein_coding	1804	2423	1826	2053	2030	2543	1823	2081
ENSG00000007171.16	NOS2	protein_coding	14	0	0	0	7	4	1	0
ENSG00000007174.17	DNAH9	protein_coding	23	5	2	5	3	10	13	4
ENSG00000007202.14	KIAA0100	protein_coding	4037	7177	4958	6470	4187	6820	4055	4400
ENSG00000007237.18	GAS7	protein_coding	37	13	4	7	5	3	8	11
ENSG00000007255.10	TRAPPC6A	protein_coding	173	164	122	185	98	145	92	102
ENSG00000007264.13	MATK	protein_coding	10	9	7	7	5	30	9	8
ENSG00000007312.12	CD79B	protein_coding	25	40	20	20	23	25	18	25
ENSG00000007314.11	SCN4A	protein_coding	20	1	13	5	6	8	1	5
ENSG00000007341.18	ST7L	protein_coding	375	477	392	330	411	487	386	368
ENSG00000007350.16	TKTL1	protein_coding	2	8	6	0	7	15	2	0
ENSG00000007372.20	PAX6	protein_coding	41	34	17	22	16	30	26	36
ENSG00000007376.7	RPUSD1	protein_coding	953	1235	1033	1039	983	1535	1090	1193
ENSG00000007384.15	RHBDF1	protein_coding	1677	2790	1835	2029	2668	3357	2330	2455
ENSG00000007392.16	LUC7L	protein_coding	1572	2012	1584	1758	1466	2019	1372	1517
ENSG00000007402.11	CACNA2D2	protein_coding	31	6	5	2	10	10	3	6
ENSG00000007516.13	BAIAP3	protein_coding	20	15	20	19	33	13	26	10
ENSG00000007520.3	TSR3	protein_coding	637	1109	803	874	810	1136	767	755
ENSG00000007541.14	PIGQ	protein_coding	546	904	671	729	552	871	447	466
ENSG00000007545.15	CRAMP1L	protein_coding	316	262	292	368	340	377	245	338
ENSG00000007866.18	TEAD3	protein_coding	30	25	5	20	11	12	12	19
ENSG00000007908.15	SELE	protein_coding	48	73	43	99	28	22	25	50
ENSG00000007923.15	DNAJC11	protein_coding	1034	1537	976	1162	1392	1746	823	902
ENSG00000007933.12	FMO3	protein_coding	6	7	8	2	2	2	5	9
ENSG00000007944.14	MYLIP	protein_coding	593	770	630	782	531	729	416	402
ENSG00000007952.17	NOX1	protein_coding	40	40	10	16	21	13	19	27
ENSG00000007968.6	E2F2	protein_coding	43	22	42	64	37	91	44	30
ENSG00000008018.8	PSMB1	protein_coding	6097	8705	6425	7189	5684	6664	5736	6078
ENSG00000008056.12	SYN1	protein_coding	26	13	10	6	22	2	5	4
ENSG00000008083.13	JARID2	protein_coding	335	499	357	380	321	422	287	304
ENSG00000008086.10	CDKL5	protein_coding	125	209	174	183	206	293	133	178
ENSG00000008118.9	CAMK1G	protein_coding	7	7	3	8	4	0	4	5
ENSG00000008128.22	CDK11A	protein_coding	87	103	112	96	102	116	71	69
ENSG00000008130.15	NADK	protein_coding	864	1404	942	1265	913	1442	896	905
ENSG00000008196.12	TFAP2B	protein_coding	3	8	7	4	3	1	4	6
ENSG00000008197.4	TFAP2D	protein_coding	6	4	3	1	4	1	4	2
ENSG00000008226.19	DLEC1	protein_coding	15	15	15	6	13	16	10	7
ENSG00000008256.15	CYTH3	protein_coding	145	266	169	284	248	365	188	233
ENSG00000008277.14	ADAM22	protein_coding	48	50	39	57	24	49	20	22
ENSG00000008282.7	SYPL1	protein_coding	3017	4604	3105	3260	3122	3880	2773	3239
ENSG00000008283.15	CYB561	protein_coding	2177	3527	2557	3145	2010	3223	1985	2313
ENSG00000008294.20	SPAG9	protein_coding	2581	3894	3122	3515	3063	3983	2652	3172
ENSG00000008300.14	CELSR3	protein_coding	65	86	42	52	47	71	32	31
ENSG00000008311.14	AASS	protein_coding	512	1026	766	847	533	880	578	517
ENSG00000008323.15	PLEKHG6	protein_coding	17	16	14	28	12	21	9	13
ENSG00000008324.10	SS18L2	protein_coding	744	939	679	726	552	635	536	483
ENSG00000008382.15	MPND	protein_coding	210	297	235	221	171	251	194	171
ENSG00000008394.12	MGST1	protein_coding	2626	4255	2953	2705	2659	3422	2732	2944
ENSG00000008405.11	CRY1	protein_coding	593	848	690	712	648	707	556	580
ENSG00000008438.4	PGLYRP1	protein_coding	0	2	0	6	3	25	0	1
ENSG00000008441.16	NFIX	protein_coding	1168	1693	1195	1457	1220	1729	1156	1386
ENSG00000008513.14	ST3GAL1	protein_coding	2196	3735	2797	3387	2634	4301	2298	2789
ENSG00000008516.16	MMP25	protein_coding	13	31	33	36	22	32	9	15
ENSG00000008517.16	IL32	protein_coding	2321	3469	2808	3305	2830	3665	2491	2817
ENSG00000008710.17	PKD1	protein_coding	647	915	663	810	658	1595	721	745
ENSG00000008735.13	MAPK8IP2	protein_coding	35	10	14	28	7	7	20	2
ENSG00000008838.17	MED24	protein_coding	1147	1625	1090	1447	965	1752	1047	1200
ENSG00000008853.16	RHOBTB2	protein_coding	335	399	285	461	343	641	370	341
ENSG00000008869.11	HEATR5B	protein_coding	928	1402	1092	1100	1022	1460	942	988
ENSG00000008952.16	SEC62	protein_coding	2551	4203	3100	3030	2855	3569	2630	3041
ENSG00000008988.9	RPS20	protein_coding	5001	7659	5650	6101	5821	5396	4690	5197
ENSG00000009307.15	CSDE1	protein_coding	12668	19156	14038	17062	12959	16609	12822	13961
ENSG00000009335.17	UBE3C	protein_coding	3251	5065	3801	4809	3520	5797	3336	4057
ENSG00000009413.15	REV3L	protein_coding	1380	2249	1626	2082	1312	2841	1483	1937
ENSG00000009694.13	TENM1	protein_coding	14	6	5	1	4	4	4	2
ENSG00000009709.11	PAX7	protein_coding	35	34	18	16	20	38	19	22
ENSG00000009724.16	MASP2	protein_coding	49	45	29	23	56	26	28	32
ENSG00000009765.14	IYD	protein_coding	12	5	4	5	5	2	8	6
ENSG00000009780.15	FAM76A	protein_coding	235	374	269	294	321	544	316	356
ENSG00000009790.14	TRAF3IP3	protein_coding	15	15	22	7	20	16	6	8
ENSG00000009830.11	POMT2	protein_coding	299	639	436	495	374	667	368	497
ENSG00000009844.15	VTA1	protein_coding	1620	2221	1700	2036	1886	2101	1538	1987
ENSG00000009950.15	MLXIPL	protein_coding	8	1	2	2	3	2	8	4
ENSG00000009954.10	BAZ1B	protein_coding	2260	4062	2840	3356	2971	4613	2844	3071
ENSG00000010017.12	RANBP9	protein_coding	2110	3425	2454	2653	2058	3027	2056	2157
ENSG00000010030.13	ETV7	protein_coding	2	4	1	6	9	5	4	10
ENSG00000010072.15	SPRTN	protein_coding	515	670	558	629	529	824	493	644
ENSG00000010165.19	METTL13	protein_coding	710	1098	838	1173	914	1453	921	859
ENSG00000010219.13	DYRK4	protein_coding	602	884	689	655	561	860	671	626
ENSG00000010244.16	ZNF207	protein_coding	3395	5286	3760	4313	3333	5177	3275	3427
ENSG00000010256.10	UQCRC1	protein_coding	1698	2605	2032	2405	2163	2891	1892	1920
ENSG00000010270.13	STARD3NL	protein_coding	2321	3939	2713	2839	2617	3183	2428	2842
ENSG00000010278.11	CD9	protein_coding	22249	32795	26397	25971	37424	45150	35203	38517
ENSG00000010292.12	NCAPD2	protein_coding	1156	2130	1408	1596	1005	1652	921	1204
ENSG00000010295.19	IFFO1	protein_coding	495	678	560	647	596	999	615	626
ENSG00000010310.8	GIPR	protein_coding	6	6	2	0	2	5	2	13
ENSG00000010318.19	PHF7	protein_coding	95	142	80	113	85	159	78	76
ENSG00000010319.6	SEMA3G	protein_coding	513	929	722	673	565	633	337	389
ENSG00000010322.15	NISCH	protein_coding	2752	4812	3334	4282	2850	4658	2358	3066
ENSG00000010327.10	STAB1	protein_coding	4145	7339	4212	6682	5096	10145	4039	5137
ENSG00000010361.13	FUZ	protein_coding	26	31	18	50	26	53	14	11
ENSG00000010379.15	SLC6A13	protein_coding	2	0	0	3	0	11	1	2
ENSG00000010404.17	IDS	protein_coding	1723	2657	1958	2394	2962	3508	2439	2887
ENSG00000010438.16	PRSS3	protein_coding	887	1305	901	1142	1647	3243	1797	1769
ENSG00000010539.11	ZNF200	protein_coding	248	306	300	362	220	308	181	251
ENSG00000010610.9	CD4	protein_coding	17	21	8	18	4	7	6	3
ENSG00000010626.14	LRRC23	protein_coding	27	28	31	58	29	39	25	27
ENSG00000010671.15	BTK	protein_coding	29	0	13	0	0	6	6	3
ENSG00000010704.18	HFE	protein_coding	48	117	100	87	81	90	60	93
ENSG00000010803.16	SCMH1	protein_coding	990	1423	1081	1183	764	1279	770	896
ENSG00000010810.17	FYN	protein_coding	3544	5990	4624	6088	4349	6712	4223	4474
ENSG00000010818.8	HIVEP2	protein_coding	224	313	232	283	534	687	360	485
ENSG00000010932.15	FMO1	protein_coding	31	41	27	23	37	20	16	45
ENSG00000011007.12	TCEB3	protein_coding	2670	4154	3161	3613	2712	3670	2608	2969
ENSG00000011009.10	LYPLA2	protein_coding	1891	2127	2029	1830	1580	2122	1400	1413
ENSG00000011021.21	CLCN6	protein_coding	348	612	386	417	360	581	420	439
ENSG00000011028.13	MRC2	protein_coding	346	392	376	452	369	642	273	357
ENSG00000011083.8	SLC6A7	protein_coding	7	0	1	0	1	7	0	5
ENSG00000011105.11	TSPAN9	protein_coding	2069	2654	2374	2235	1912	2796	1837	1969
ENSG00000011114.14	BTBD7	protein_coding	1543	2262	1764	1969	1755	2975	1605	1738
ENSG00000011132.11	APBA3	protein_coding	231	344	320	276	272	494	294	332
ENSG00000011143.16	MKS1	protein_coding	114	189	151	139	145	192	116	144
ENSG00000011198.7	ABHD5	protein_coding	846	1539	1035	1130	1371	1552	1300	1405
ENSG00000011201.10	ANOS1	protein_coding	56	82	53	93	54	90	44	72
ENSG00000011243.17	AKAP8L	protein_coding	493	911	637	933	710	1136	562	656
ENSG00000011258.15	MBTD1	protein_coding	289	383	311	416	230	403	238	262
ENSG00000011260.13	UTP18	protein_coding	542	953	744	505	507	789	685	664
ENSG00000011275.18	RNF216	protein_coding	1435	2192	1788	2040	1827	2821	1703	1926
ENSG00000011295.15	TTC19	protein_coding	1189	1752	1377	1374	1473	1901	1279	1621
ENSG00000011304.16	PTBP1	protein_coding	11183	16528	12000	13909	12913	18239	12192	12560
ENSG00000011332.19	DPF1	protein_coding	73	68	54	48	17	37	44	28
ENSG00000011347.9	SYT7	protein_coding	14	0	12	5	1	0	0	7
ENSG00000011376.9	LARS2	protein_coding	357	428	372	396	419	410	253	349
ENSG00000011405.13	PIK3C2A	protein_coding	6927	11217	7874	9583	6597	11581	7295	7639
ENSG00000011422.11	PLAUR	protein_coding	3422	5382	3849	4166	4461	5809	3603	4229
ENSG00000011426.10	ANLN	protein_coding	3924	6239	4088	4201	3561	4776	3426	3799
ENSG00000011451.17	WIZ	protein_coding	1973	3014	2215	2341	2765	3973	1929	2097
ENSG00000011454.16	RABGAP1	protein_coding	1323	1974	1526	1677	1316	1853	1283	1350
ENSG00000011465.16	DCN	protein_coding	26	20	15	10	18	36	16	19
ENSG00000011478.11	QPCTL	protein_coding	150	291	250	212	171	237	132	136
ENSG00000011485.14	PPP5C	protein_coding	791	1115	926	1205	768	1322	787	838
ENSG00000011523.13	CEP68	protein_coding	1194	1804	1575	1654	1044	1657	917	1071
ENSG00000011566.14	MAP4K3	protein_coding	1036	1739	1097	1269	1006	1206	784	947
ENSG00000011590.13	ZBTB32	protein_coding	3	14	9	15	11	19	4	11
ENSG00000011638.10	TMEM159	protein_coding	148	252	221	185	200	214	198	237
ENSG00000011677.12	GABRA3	protein_coding	27	6	8	3	1	4	13	10
ENSG00000012048.19	BRCA1	protein_coding	275	493	393	375	344	558	288	408
ENSG00000012061.15	ERCC1	protein_coding	1564	2338	1698	1634	1354	2094	1390	1536
ENSG00000012124.14	CD22	protein_coding	20	2	0	1	1	15	0	1
ENSG00000012171.17	SEMA3B	protein_coding	14	20	27	16	27	13	13	8
ENSG00000012174.11	MBTPS2	protein_coding	591	896	656	783	698	834	600	750
ENSG00000012211.12	PRICKLE3	protein_coding	65	95	51	101	74	98	74	53
ENSG00000012223.12	LTF	protein_coding	14	4	2	0	3	2	5	2
ENSG00000012232.8	EXTL3	protein_coding	1410	2283	1715	2029	1415	2335	1291	1404
ENSG00000012504.13	NR1H4	protein_coding	9	7	3	4	2	3	0	6
ENSG00000012660.13	ELOVL5	protein_coding	1934	3585	2571	2832	2156	2629	1812	2274
ENSG00000012779.10	ALOX5	protein_coding	16	7	0	3	2	6	1	3
ENSG00000012817.15	KDM5D	protein_coding	816	1378	909	1206	898	1485	1027	923
ENSG00000012822.15	CALCOCO1	protein_coding	1075	1955	1241	1798	1212	2038	1125	1481
ENSG00000012963.13	UBR7	protein_coding	410	722	351	535	392	709	373	519
ENSG00000012983.11	MAP4K5	protein_coding	2276	3800	2835	3047	2855	3704	2479	2592
ENSG00000013016.14	EHD3	protein_coding	199	236	210	316	135	369	164	225
ENSG00000013275.7	PSMC4	protein_coding	2359	4016	2691	3064	2584	3958	2617	3028
ENSG00000013288.8	MAN2B2	protein_coding	1579	2868	2005	2442	1763	2901	1678	1915
ENSG00000013293.5	SLC7A14	protein_coding	19	27	32	38	23	62	33	24
ENSG00000013297.10	CLDN11	protein_coding	25811	39575	26358	27647	25356	34262	30962	27618
ENSG00000013306.15	SLC25A39	protein_coding	2318	3201	2800	2766	2152	3123	2102	2335
ENSG00000013364.18	MVP	protein_coding	3876	5768	4496	5212	4644	6534	4918	4601
ENSG00000013374.15	NUB1	protein_coding	870	1350	1226	1207	999	1507	952	1127
ENSG00000013375.15	PGM3	protein_coding	2597	4496	3017	3058	3173	3815	3072	3206
ENSG00000013392.7	RWDD2A	protein_coding	238	277	203	262	177	322	254	278
ENSG00000013441.15	CLK1	protein_coding	1236	1901	1399	1601	1478	1765	1242	1450
ENSG00000013503.9	POLR3B	protein_coding	716	1187	908	1081	863	1330	817	973
ENSG00000013523.9	ANGEL1	protein_coding	870	1313	898	1052	881	1561	781	905
ENSG00000013561.17	RNF14	protein_coding	894	1354	929	1133	1005	1416	912	989
ENSG00000013563.13	DNASE1L1	protein_coding	534	894	673	937	798	1162	648	741
ENSG00000013573.16	DDX11	protein_coding	320	382	319	349	339	514	361	388
ENSG00000013583.8	HEBP1	protein_coding	1367	2173	1608	2019	1268	2107	1327	1581
ENSG00000013588.5	GPRC5A	protein_coding	233	496	204	305	589	1068	627	641
ENSG00000013619.13	MAMLD1	protein_coding	249	391	316	402	355	622	261	379
ENSG00000013725.14	CD6	protein_coding	7	4	10	0	1	7	8	0
ENSG00000013810.18	TACC3	protein_coding	787	1486	1108	1015	810	1058	784	694
ENSG00000014123.9	UFL1	protein_coding	1232	2133	1671	1627	1391	1837	1196	1314
ENSG00000014138.8	POLA2	protein_coding	504	867	489	639	417	866	557	521
