ï..Ensembl.ID,Gene.symbol,Gene.type,OS1,OS2,OS3,OS4,LS1,LS2,LS3,LS4,OS,LS
ENSG00000003402.19,CFLAR,protein_coding,4221.875,4887.75,4804.375,4800,9514.125,6800.75,10928.75,9533.375,4678.5,9194.25
ENSG00000003436.14,TFPI,protein_coding,12769.375,12644.625,13916.75,14010.25,2655.375,5516.25,6805.75,5707.75,13335.25,5171.28125
ENSG00000003509.15,NDUFAF7,protein_coding,253.125,339.4375,324,332,611.75,446.8125,515.625,474.5,312.140625,512.171875
ENSG00000003756.16,RBM5,protein_coding,1928.375,2653.5,2241.25,1999.5625,2293.5,1895.125,2913.0625,3023.875,2205.671875,2531.390625
ENSG00000003987.13,MTMR7,protein_coding,112.25,89.625,90.5,88.75,40.5,93.875,93.25,98.5,95.28125,81.53125
ENSG00000003989.16,SLC7A2,protein_coding,1181.125,1075.375,912.375,1049.1875,339.875,781.625,658.875,592.5,1054.515625,593.21875
ENSG00000004059.10,ARF5,protein_coding,243.125,327.375,253.125,249.625,142,142.625,152.625,197,268.3125,158.5625
ENSG00000004139.13,SARM1,protein_coding,11.25,26.75,32.75,23.875,23,18.25,12.75,32.375,23.65625,21.59375
ENSG00000004142.11,POLDIP2,protein_coding,1726.5,1642,1823.75,1522.25,1404.8125,1704.375,1337.25,1308.625,1678.625,1438.765625
ENSG00000004399.12,PLXND1,protein_coding,14389.25,19080,12644.625,13533.375,14230.75,14441.5,17723.75,16417.25,14911.8125,15703.3125
ENSG00000004455.16,AK2,protein_coding,3284,3213.25,3198.25,2919.75,2112.375,2847.5,2449.75,2283.25,3153.8125,2423.21875
ENSG00000004468.12,CD38,protein_coding,11.25,7.125,3.75,1.25,1,3.625,3.25,7.375,5.84375,3.8125
ENSG00000004478.7,FKBP4,protein_coding,854.9375,763.75,714.5,666.3125,2871.5,1552.9375,1751,2087.9375,749.875,2065.84375
ENSG00000004487.15,KDM1A,protein_coding,1737,1708.5,1561.5,1600,1270.5,1228.6875,1490.625,1477.3125,1651.75,1366.78125
ENSG00000004534.14,RBM6,protein_coding,1799.75,2165.625,2027.5,1922.1875,5155.375,2656.875,4968.375,4517.5,1978.765625,4324.53125
ENSG00000004660.14,CAMKK1,protein_coding,24.625,45,14.9375,36.125,37.125,41.125,66.25,49.375,30.171875,48.46875
ENSG00000004700.15,RECQL,protein_coding,1131.875,1002.8125,930.3125,1000.625,1069.375,1119.9375,890.125,863.125,1016.40625,985.640625
ENSG00000004766.15,CCDC132,protein_coding,775,599,722.4375,642.4375,988.875,854.8125,813.875,982.6875,684.71875,910.0625
ENSG00000004776.11,HSPB6,protein_coding,224.6875,209,265.25,180.5,212.625,141,118.625,138.625,219.859375,152.71875
ENSG00000004777.18,ARHGAP33,protein_coding,51.75,64.25,41.25,38.25,32.75,33.75,30.375,64.125,48.875,40.25
ENSG00000004779.9,NDUFAB1,protein_coding,5028.625,4386.625,5179.5,4820.75,4116.125,4809.5,3927.125,4268.875,4853.875,4280.40625
ENSG00000004799.7,PDK4,protein_coding,209.125,254.875,189.75,194.375,113.25,72.9375,108.875,75.3125,212.03125,92.59375
ENSG00000004809.13,SLC22A16,protein_coding,2.75,0,0,2.5,3.75,1.25,9.25,0.25,1.3125,3.625
ENSG00000004838.13,ZMYND10,protein_coding,1.625,11.25,13.75,4.625,15,7.5,18.125,22.625,7.8125,15.8125
ENSG00000004846.16,ABCB5,protein_coding,3.875,7.75,3.75,3.625,1.875,7.5,1.375,8.75,4.75,4.875
ENSG00000004848.6,ARX,protein_coding,2.75,4.5,6.5,6.75,4.875,7.5,6.625,8,5.125,6.75
ENSG00000004864.13,SLC25A13,protein_coding,572.375,655.9375,713.5,734.625,474.25,526,526.125,511.875,669.109375,509.5625
ENSG00000004866.18,ST7,protein_coding,946.375,999.125,1064.9375,1099.875,954.375,912,1049.375,1039.5,1027.578125,988.8125
ENSG00000004897.11,CDC27,protein_coding,2888.625,3052.5625,3376.5,3232.75,2244.5,2773,2650.625,2644.875,3137.609375,2578.25
ENSG00000004939.13,SLC4A1,protein_coding,5.25,6.125,6.5,0,7.5,11.375,3.25,6.5,4.46875,7.15625
ENSG00000004961.14,HCCS,protein_coding,1579,1461.25,1582.25,1626.25,1466.6875,1735.375,1427.8125,1483.625,1562.1875,1528.375
ENSG00000004975.11,DVL2,protein_coding,412.25,523.75,447.375,471.125,644.125,629.6875,630,723.3125,463.625,656.78125
ENSG00000005001.9,PRSS22,protein_coding,6.5,3.625,0,0,4.875,6.125,0.375,0.25,2.53125,2.90625
ENSG00000005007.12,UPF1,protein_coding,2601.0625,2652.25,2378.8125,2153.625,3259.375,2523,2826.5,2806.625,2446.4375,2853.875
ENSG00000005020.12,SKAP2,protein_coding,3275.875,3109.75,3072.75,2932.625,2722.4375,3323.5,2827.25,3031.25,3097.75,2976.109375
ENSG00000005022.5,SLC25A5,protein_coding,4751.0625,4860.75,5066.75,4977.625,3474.875,3207.375,3253.4375,3101.1875,4914.046875,3259.21875
ENSG00000005059.15,CCDC109B,protein_coding,1419.8125,1409.875,1592.75,1417.125,1681.5,2136.75,1718.375,1729.4375,1459.890625,1816.515625
ENSG00000005073.5,HOXA11,protein_coding,65.75,57.25,51.375,57.875,30.125,48.375,24.625,34.125,58.0625,34.3125
ENSG00000005075.15,POLR2J,protein_coding,1720.375,1339.5,1816.5625,1586.875,1556.75,1985.875,1453.125,1600,1615.828125,1648.9375
ENSG00000005100.12,DHX33,protein_coding,1154.125,1226.75,1191.0625,1210.375,576.375,719,789.75,696.5625,1195.578125,695.421875
ENSG00000005102.12,MEOX1,protein_coding,13.375,8.75,6.5,9,12.25,11.375,10.25,11.25,9.40625,11.28125
ENSG00000005108.15,THSD7A,protein_coding,798.75,1158.5625,1064.9375,1051,557.125,233.375,581.25,562,1018.3125,483.4375
ENSG00000005156.11,LIG3,protein_coding,328,356.5,297,271.875,379.625,253.125,366.625,357.75,313.34375,339.28125
ENSG00000005175.9,RPAP3,protein_coding,751.125,702.625,818.9375,806.375,884.5,838,897.375,770,769.765625,847.46875
ENSG00000005187.11,ACSM3,protein_coding,412.25,276.25,276.25,336.5,1.875,22.625,1.375,1.25,325.3125,6.78125
ENSG00000005189.19,AC004381.6,protein_coding,26.75,45.625,40.125,16.75,44.5,23.625,30.375,18.5,32.3125,29.25
ENSG00000005194.14,CIAPIN1,protein_coding,1076.25,1113.75,1115.75,1115.75,827.625,816,788.75,839.5,1105.375,817.96875
ENSG00000005206.16,SPPL2B,protein_coding,916.5,948.125,865.1875,837.75,721.875,788,968.625,1134.25,891.890625,903.1875
ENSG00000005238.19,FAM214B,protein_coding,776.1875,966,836.9375,937.875,2420.5,1949.75,2201.625,2135.9375,879.25,2176.953125
ENSG00000005243.9,COPZ2,protein_coding,80.625,85.25,88.375,63.75,23.875,56.5,63.25,52.875,79.5,49.125
ENSG00000005249.12,PRKAR2B,protein_coding,3521.75,3338.625,4123.625,4035.125,3122.8125,3862.75,3199.75,3271,3754.78125,3364.078125
ENSG00000005302.17,MSL3,protein_coding,2869.5,2617,2282.125,2269.75,1884.75,1765.75,1846.1875,1965.125,2509.59375,1865.453125
ENSG00000005339.12,CREBBP,protein_coding,4636.625,5925.875,4550.375,4885.25,6237.5,5010.625,5402.875,4824.5,4999.53125,5368.875
ENSG00000005379.15,BZRAP1,protein_coding,1.625,10.25,9,12.375,10.25,12.75,0.375,8,8.3125,7.84375
ENSG00000005381.7,MPO,protein_coding,8.75,6.125,6.5,6.75,1,5,0.375,2.625,7.03125,2.25
ENSG00000005436.13,GCFC2,protein_coding,339.1875,345.875,378.6875,348.375,159,287.5,224.8125,238.375,353.03125,227.421875
ENSG00000005448.16,WDR54,protein_coding,1021.75,873.625,1210.5625,1055.625,779.75,1129.875,509.125,988.875,1040.390625,851.90625
ENSG00000005469.11,CROT,protein_coding,160.875,144.375,134.75,127.3125,89.5,179.6875,111.4375,117.375,141.828125,124.5
ENSG00000005471.15,ABCB4,protein_coding,3.875,12.375,1.25,9,5.625,18.25,14.625,18.5,6.625,14.25
ENSG00000005483.19,KMT2E,protein_coding,2725.75,2932.625,2482.75,2559.8125,3379.25,3605.25,3490.125,2981.125,2675.234375,3363.9375
ENSG00000005486.16,RHBDD2,protein_coding,743,891.9375,784,789.6875,1032.5,845.0625,1059.625,1048.3125,802.15625,996.375
ENSG00000005513.9,SOX8,protein_coding,47.5,13.125,10.25,22,21.875,19.75,34.125,40.125,23.21875,28.96875
ENSG00000005700.14,IBTK,protein_coding,1698.9375,1623.5625,1830.5625,1787.75,1504.125,1825.4375,1527.25,1670,1735.203125,1631.703125
ENSG00000005801.16,ZNF195,protein_coding,546.8125,548.3125,493.25,486.375,738.875,612.75,788.75,694.125,518.6875,708.625
ENSG00000005810.17,MYCBP2,protein_coding,2501.25,3394.875,2614.9375,2810.0625,2932.75,2395.125,3033.0625,2638.9375,2830.28125,2749.96875
ENSG00000005812.10,FBXL3,protein_coding,1841.25,1611.375,1657.625,1641.75,1278.25,1707.25,1432.75,1446.375,1688,1466.15625
ENSG00000005844.17,ITGAL,protein_coding,12.375,6.125,2.625,2.5,5.625,0,2.25,8,5.90625,3.96875
ENSG00000005882.11,PDK2,protein_coding,111,143.75,90.5,108.5,52.875,43.75,40.875,70.625,113.4375,52.03125
ENSG00000005884.17,ITGA3,protein_coding,2450.125,3600.875,2833.375,2510.375,7300.25,5737.625,7116.75,7230.75,2848.6875,6846.34375
ENSG00000005889.15,ZFX,protein_coding,850.125,955.1875,954.9375,926.25,1413.0625,1106.875,1429.875,1222.625,921.625,1293.109375
ENSG00000005893.15,LAMP2,protein_coding,9311.5,8983.75,9396.875,9610.75,8513.25,8791.125,8990.625,8671.5,9325.71875,8741.625
ENSG00000005961.17,ITGA2B,protein_coding,12.375,15.375,5,18.875,40.5,32.25,50.125,33.5,12.90625,39.09375
ENSG00000005981.12,ASB4,protein_coding,6.5,0,0,1.25,1,6.125,0,0.25,1.9375,1.84375
ENSG00000006007.11,GDE1,protein_coding,1319.25,1555.5,1840.0625,1473.125,1750.375,1919.375,1565.6875,1663,1546.984375,1724.609375
ENSG00000006015.17,C19orf60,protein_coding,647.625,565.875,660.75,484.375,77.25,373.375,306,245.0625,589.65625,250.421875
ENSG00000006016.10,CRLF1,protein_coding,27.75,88.875,29.125,71.375,69.75,53.75,67.25,43.75,54.28125,58.625
ENSG00000006025.11,OSBPL7,protein_coding,598.0625,883.375,782.625,720,1178.1875,1410.125,1682.75,1722.375,746.015625,1498.359375
ENSG00000006042.11,TMEM98,protein_coding,1755.625,1487.875,1561.5,1715,639.75,1099.875,777.875,881.25,1630,849.6875
ENSG00000006047.12,YBX2,protein_coding,2.75,7.125,2.625,5.625,4.875,10.25,0,0.25,4.53125,3.84375
ENSG00000006062.13,MAP3K14,protein_coding,67.75,107.125,75.1875,44.875,107.625,113.625,93.25,92.25,73.734375,101.6875
ENSG00000006071.11,ABCC8,protein_coding,0.25,12.375,0,0,4.875,2.5,4.125,8.75,3.15625,5.0625
ENSG00000006118.14,TMEM132A,protein_coding,1212.5,1578.75,1142.75,1223.5625,721.875,838,1020.875,768,1289.390625,837.1875
ENSG00000006125.16,AP2B1,protein_coding,5893.875,6863.75,5596.125,5994.875,6437.625,6364.625,5857.125,5834.75,6087.15625,6123.53125
ENSG00000006194.9,ZNF263,protein_coding,494,508.375,457.125,465.5,453.625,439.6875,439,478.4375,481.25,452.6875
ENSG00000006210.6,CX3CL1,protein_coding,15.75,7.75,11.25,6.75,3.75,10.25,4.125,2.625,10.375,5.1875
ENSG00000006282.19,SPATA20,protein_coding,1462.875,1591.5,1485.875,1454.4375,2059.3125,1967.5,2466.125,2141.375,1498.671875,2158.578125
ENSG00000006283.17,CACNA1G,protein_coding,5.25,6.125,6.5,6.75,12.25,21,5.625,3.625,6.15625,10.625
ENSG00000006327.13,TNFRSF12A,protein_coding,605.25,433,363.625,440.5625,659.625,717.25,654.0625,833.875,460.609375,716.203125
ENSG00000006377.10,DLX6,protein_coding,3.875,4.5,3.75,4.625,1,2.5,10.25,1.75,4.1875,3.875
ENSG00000006432.15,MAP3K9,protein_coding,6.5,5.25,13.75,6.75,11.25,18.25,10.25,23.375,8.0625,15.78125
ENSG00000006451.7,RALA,protein_coding,8073.625,5753.125,7399.375,7534.75,5534.75,5712.75,5045,5076.75,7190.21875,5342.3125
ENSG00000006453.13,BAIAP2L1,protein_coding,82.75,52.375,42.375,31.125,151.75,78.3125,160.9375,119.5,52.15625,127.625
ENSG00000006459.10,KDM7A,protein_coding,562.25,438,581,495.125,681.625,511.8125,618.5,568.1875,519.09375,595.03125
ENSG00000006468.13,ETV1,protein_coding,387.875,461,318.5625,370.75,156.5,220.5,157,204.25,384.546875,184.5625
ENSG00000006530.15,AGK,protein_coding,504.25,480.6875,451.875,469.3125,324.75,349.25,366.625,540,476.53125,395.15625
ENSG00000006534.15,ALDH3B1,protein_coding,19.125,8.75,17.5,19.875,19.875,36.875,5,15.875,16.3125,19.40625
ENSG00000006555.10,TTC22,protein_coding,50.625,61.875,66.5,46.75,61.125,58,41.9375,59.125,56.4375,55.046875
ENSG00000006576.16,PHTF2,protein_coding,461.5,439.4375,512.0625,527.875,412,381.75,425.75,420.75,485.21875,410.0625
ENSG00000006607.13,FARP2,protein_coding,800.75,839.875,836.9375,919.875,853.5,781.625,820.625,913,849.359375,842.1875
ENSG00000006611.15,USH1C,protein_coding,3.875,9.75,2.625,1.25,15.875,1.25,0.375,3.625,4.375,5.28125
ENSG00000006625.17,GGCT,protein_coding,302.625,217.75,291.75,339,321,352.375,244.0625,317.125,287.78125,308.640625
ENSG00000006634.7,DBF4,protein_coding,269.3125,232.5,248.125,240.0625,299.625,224.375,169.625,189.75,247.5,220.84375
ENSG00000006638.11,TBXA2R,protein_coding,53.875,49.25,55.875,38.25,346.875,259.625,173.5,189.75,49.3125,242.4375
ENSG00000006652.13,IFRD1,protein_coding,1509.0625,1174.625,1360.9375,1507.5,2575,1791.625,2534.125,2377.75,1388.03125,2319.625
ENSG00000006695.10,COX10,protein_coding,548.75,471.9375,600.75,550.875,507.375,514.75,420.875,451.8125,543.078125,473.703125
ENSG00000006704.10,GTF2IRD1,protein_coding,229.625,309.75,208.25,346.875,265.625,212.625,244.0625,172.875,273.625,223.796875
ENSG00000006712.14,PAF1,protein_coding,1693.875,1454.0625,1604.0625,1477,1966.6875,1935.25,2027.25,1724.625,1557.25,1913.453125
ENSG00000006715.15,VPS41,protein_coding,1186.125,1163.125,1624.5625,1445,1163.125,1230.6875,1145.875,964.4375,1354.703125,1126.03125
ENSG00000006740.16,ARHGAP44,protein_coding,42.375,9.75,5,16.75,43.625,23.625,31.25,24.25,18.46875,30.6875
ENSG00000006744.18,ELAC2,protein_coding,3097.9375,3389.125,3639.125,3118.5,2772,3036.25,3150.5,3384.6875,3311.171875,3085.859375
ENSG00000006747.14,SCIN,protein_coding,0.25,3.625,11.25,5.625,1.875,10.25,7.5,9.625,5.1875,7.3125
ENSG00000006756.15,ARSD,protein_coding,379,397,397.625,476.875,175.5625,295.5,238.875,228.625,412.625,234.640625
ENSG00000006757.11,PNPLA4,protein_coding,136.4375,147.25,137,137.5,68.625,112.375,27.75,60.25,139.546875,67.25
ENSG00000006788.12,MYH13,protein_coding,12.375,6.125,6.5,6.75,11.25,8.75,9.25,4.125,7.9375,8.34375
ENSG00000006831.9,ADIPOR2,protein_coding,946.375,806.8125,1143.5625,955.1875,1632.6875,1061.875,1235.125,1298.875,962.984375,1307.140625
ENSG00000006837.11,CDKL3,protein_coding,22.375,26.75,29.125,37,69.75,46.875,43.875,46.75,28.8125,51.8125
ENSG00000007001.12,UPP2,protein_coding,8.75,16.25,10.25,11.25,11.25,12.75,6.625,13.375,11.625,11
ENSG00000007047.14,MARK4,protein_coding,1312.5625,1543.625,1096.625,1042,1492.875,1366.4375,1288.25,1298.875,1248.703125,1361.609375
ENSG00000007062.11,PROM1,protein_coding,7.625,10.25,14.9375,7.75,2.75,1.25,3.25,5.625,10.140625,3.21875
ENSG00000007080.10,CCDC124,protein_coding,3113.5625,2828.75,2792.6875,3016.375,3213.25,3698.6875,2772,3097.5,2937.84375,3195.359375
ENSG00000007129.17,CEACAM21,protein_coding,77.75,110.75,101.5,79.5,35.125,38.25,52.125,45.75,92.375,42.8125
ENSG00000007168.12,PAFAH1B1,protein_coding,2167,1988.25,2079.125,2151.9375,1943,2325,2011.25,2096.125,2096.578125,2093.84375
ENSG00000007171.16,NOS2,protein_coding,8.75,3.625,1.25,0,0,22.625,0,6.5,3.40625,7.28125
ENSG00000007174.17,DNAH9,protein_coding,3.875,8.75,16.25,4.625,17.875,10.25,13.75,1.75,8.375,10.90625
ENSG00000007202.14,KIAA0100,protein_coding,4605,5501.25,4735.5,4653.125,5682.875,4944.75,5256.875,5322.625,4873.71875,5301.78125
ENSG00000007237.18,GAS7,protein_coding,6.5,2.75,10.25,12.375,15.875,18.25,16.5,11.875,7.96875,15.625
ENSG00000007255.10,TRAPPC6A,protein_coding,102.625,111.5,102.625,102.625,61.125,35.125,32.375,51.375,104.84375,45
ENSG00000007264.13,MATK,protein_coding,6.5,24.875,11.25,9,38.25,70.125,29.5,42.75,12.90625,45.15625
ENSG00000007312.12,CD79B,protein_coding,26.75,21,22.25,26.75,36.125,26.75,9.25,27.75,24.1875,24.96875
ENSG00000007314.11,SCN4A,protein_coding,7.625,7.125,1.25,5.625,2.75,10.25,7.5,7.375,5.40625,6.96875
ENSG00000007341.18,ST7L,protein_coding,422.3125,363.875,428.75,363,457.125,371.6875,601.25,589.375,394.484375,504.859375
ENSG00000007350.16,TKTL1,protein_coding,8.75,13.125,2.625,0,13.125,7.5,21.75,20,6.125,15.59375
ENSG00000007372.20,PAX6,protein_coding,19.125,24.875,31.25,38.25,28.875,42.5,28.5,35.125,28.375,33.75
ENSG00000007376.7,RPUSD1,protein_coding,1039.125,1179.5,1233.375,1225.875,1104.625,949.625,1043,949.9375,1169.46875,1011.796875
ENSG00000007384.15,RHBDF1,protein_coding,2842.25,2648.5,2672.4375,2555.125,4032.5,3291.375,3732.375,4110,2679.578125,3791.5625
ENSG00000007392.16,LUC7L,protein_coding,1565.3125,1587.75,1570.125,1577.125,2032.875,1532.875,2254.375,1917.5625,1575.078125,1934.421875
ENSG00000007402.11,CACNA2D2,protein_coding,12.375,8.75,3.75,6.75,17.875,21,21,17.75,7.90625,19.40625
ENSG00000007516.13,BAIAP3,protein_coding,37,11.25,31.25,11.25,40.5,15.375,33.375,29.25,22.6875,29.625
ENSG00000007520.3,TSR3,protein_coding,848.375,868.25,863.25,770.625,914.1875,856.8125,780.375,746.375,837.625,824.4375
ENSG00000007541.14,PIGQ,protein_coding,574.6875,669.875,497.375,466.375,359.1875,521.625,474.25,402.4375,552.078125,439.375
ENSG00000007545.15,CRAMP1L,protein_coding,346.875,278.875,267.5625,333.875,442.375,359.375,506.0625,481,306.796875,447.203125
ENSG00000007866.18,TEAD3,protein_coding,13.375,10.25,14.9375,21,9.25,12.75,17,8,14.890625,11.75
ENSG00000007908.15,SELE,protein_coding,32,18.75,30.25,51.75,17,26.75,11.25,19.125,33.1875,18.53125
ENSG00000007923.15,DNAJC11,protein_coding,1489.375,1359.25,926.8125,927.8125,1166.1875,1485.875,1325.25,1278.25,1175.8125,1313.890625
ENSG00000007933.12,FMO3,protein_coding,2.75,2.125,6.5,10.125,8.5,5,9.25,7.375,5.375,7.53125
ENSG00000007944.14,MYLIP,protein_coding,553.6875,556,463.375,398.125,416,396.125,467.5,348.375,492.796875,407
ENSG00000007952.17,NOX1,protein_coding,24.625,11.25,23.375,29.125,38.25,32.25,16.5,33.5,22.09375,30.125
ENSG00000007968.6,E2F2,protein_coding,41.25,71.375,51.375,32.125,24.875,38.25,18.125,15.125,49.03125,24.09375
ENSG00000008018.8,PSMB1,protein_coding,6205.1875,5372.5,6690.5,6443.125,4492.5,4831.75,4435.25,4565.5,6177.828125,4581.25
ENSG00000008056.12,SYN1,protein_coding,25.75,2.125,6.5,4.625,23.875,22.625,53.1875,11.25,9.75,27.734375
ENSG00000008083.13,JARID2,protein_coding,329.375,314.5,314.125,300.625,306.75,269,383.4375,388.8125,314.65625,337
ENSG00000008086.10,CDKL5,protein_coding,212,218.625,146.875,177,197,190,143,219.875,188.625,187.46875
ENSG00000008118.9,CAMK1G,protein_coding,5.25,0,5,5.625,17.875,14.125,0.375,15.875,3.96875,12.0625
ENSG00000008128.22,CDK11A,protein_coding,106.8125,89.625,79.375,70.625,182.875,81.125,158.3125,194.5,86.609375,154.203125
ENSG00000008130.15,NADK,protein_coding,965.25,1105.5625,1010.5,930.5625,1499.0625,1127.5,1597.3125,1546.5,1002.96875,1442.59375
ENSG00000008196.12,TFAP2B,protein_coding,3.875,1.125,5,6.75,2.75,7.5,3.25,1.75,4.1875,3.8125
ENSG00000008197.4,TFAP2D,protein_coding,5.25,1.125,5,2.5,2.75,5,4.125,1.75,3.46875,3.40625
ENSG00000008226.19,DLEC1,protein_coding,15.75,13.75,12.625,7.75,14.125,8.75,8.5,8.75,12.46875,10.03125
ENSG00000008256.15,CYTH3,protein_coding,253.875,270.4375,204.9375,227,228.25,282.4375,166.625,173.875,239.0625,212.796875
ENSG00000008277.14,ADAM22,protein_coding,27.75,39.875,24.625,23.875,28.875,21,24.625,25.25,29.03125,24.9375
ENSG00000008282.7,SYPL1,protein_coding,3351,3045.375,3188.8125,3384.375,2935.5625,3414,3163.9375,3437.5625,3242.390625,3237.765625
ENSG00000008283.15,CYB561,protein_coding,2149.5,2524.125,2279.6875,2407.9375,1452.25,1671.5625,1616.125,1657.5,2340.3125,1599.359375
ENSG00000008294.20,SPAG9,protein_coding,3279.25,3134.75,3051.5,3309,6419,5285.6875,5581.5,5416.625,3193.625,5675.703125
ENSG00000008300.14,CELSR3,protein_coding,51.75,56.125,38.25,33.125,69.75,49.625,127.6875,72.125,44.8125,79.796875
ENSG00000008311.14,AASS,protein_coding,556.25,677.0625,647.625,518.6875,468.625,349.25,319.75,407.5625,599.90625,386.296875
ENSG00000008323.15,PLEKHG6,protein_coding,14.625,17.875,11.25,14.5,23.875,19.75,26.75,11.875,14.5625,20.5625
ENSG00000008324.10,SS18L2,protein_coding,574.6875,482.5,596.1875,485.375,455.875,513,508.1875,469.25,534.6875,486.578125
ENSG00000008382.15,MPND,protein_coding,175.9375,188.1875,211.125,168.75,308.9375,198.5,210.125,224.8125,186,235.59375
ENSG00000008394.12,MGST1,protein_coding,2832,2690.25,3145,3061.125,2019.25,2663.125,2362,2221.875,2932.09375,2316.5625
ENSG00000008405.11,CRY1,protein_coding,675.6875,539.75,620,584.75,854.9375,642.75,925.25,771.0625,605.046875,798.5
